source_id,designation,ra,dec,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,bp_rp,pmra,pmdec,radial_velocity
5853498713190525696,Gaia DR3 5853498713190525696,217.39232147200883,-62.67607511676666,768.0665391873573,0.049872905,15400.477,8.984749,3.8045802,-3781.741008265163,769.4650146478623,-21.942726
4472832130942575872,Gaia DR3 4472832130942575872,269.44850252543836,4.739420051112412,546.975939730948,0.040116355,13634.737,8.1939745,2.8336968,-801.5509783684709,10362.394206546573,-110.46822
3864972938605115520,Gaia DR3 3864972938605115520,164.10319030755974,7.002726940984864,415.17941567802137,0.06837086,6072.462,11.038391,4.1848364,-3866.3382751436793,-2699.214987679166,
762815470562110464,Gaia DR3 762815470562110464,165.83095967577933,35.948653032660104,392.75294543876464,0.03206665,12248.019,6.551172,2.2156086,-580.0570872139048,-4776.588719443488,-85.11064
2947050466531873024,Gaia DR3 2947050466531873024,101.28662552099249,-16.720932526023173,374.48958852876103,0.2313347,1618.8214,8.524133,-0.27842712,-461.570505530133,-914.5196209016666,
5140693571158946048,Gaia DR3 5140693571158946048,24.771674208211856,-17.947682860008488,373.8443122683992,0.50087124,746.38806,10.817838,3.8285542,3178.6942575748953,584.0613350385156,10.249533
5140693571158739840,Gaia DR3 5140693571158739840,24.771554293454546,-17.948299887129313,367.71189618147696,0.74180114,495.70142,10.507542,3.7529564,3385.315810465071,544.3863845619521,21.458223
4075141768785646848,Gaia DR3 4075141768785646848,282.4587890175222,-23.83709744872712,336.0266016683708,0.031666122,10611.549,9.126414,2.8340364,639.367850335873,-193.95792507116096,-11.11644
1926461164913660160,Gaia DR3 1926461164913660160,355.4800152581559,44.170375700747755,316.48118678226916,0.044448785,7120.1313,10.379277,3.5294142,112.52746493350043,-1591.6497618145506,-77.289825
5164707970261890560,Gaia DR3 5164707970261890560,53.22829341517546,-9.458168216292322,310.5772928005821,0.13549915,2292.0977,3.465752,1.1402977,-974.758145249517,20.875840089774208,
6553614253923452800,Gaia DR3 6553614253923452800,346.5039166796005,-35.8471642082214,304.1353692001036,0.01999573,15210.015,6.5220323,2.0982852,6765.995136250774,1330.2852747179845,8.306988
3796072592206250624,Gaia DR3 3796072592206250624,176.93768799004127,0.7991199702364985,296.3053079139394,0.030185517,9816.142,9.601,3.0332584,607.2990766811824,-1223.0283548879977,
1872046574983497216,Gaia DR3 1872046574983497216,316.753662752556,38.75607277205679,286.0053518616485,0.028940246,9882.616,5.4506445,1.7153406,4105.976428209489,3155.9416398273515,-64.593544
1872046609345556480,Gaia DR3 1872046609345556480,316.7484792940004,38.76386244649797,285.99494829578117,0.05989728,4774.757,4.766713,1.4625897,4164.2086922846665,3249.613883848584,-65.97495
