source_id,designation,ra,dec,parallax,phot_g_mean_mag,bp_rp,pmra,pmdec,radial_velocity
138999542724521728,Gaia DR3 138999542724521728,45.90110281663027,36.4414017061195,24.04013848694477,12.292258,2.1465397,164.17723011850538,-46.54226090990294,24.308878
140357297851215872,Gaia DR3 140357297851215872,44.67589329914353,35.55951746130417,24.995108579429672,9.144718,1.2284346,-27.290832231055653,-207.93393520698908,6.953157
141893251171488640,Gaia DR3 141893251171488640,45.079141917510654,36.236305402759506,16.824175080297675,13.893656,2.3934078,54.799085847548554,18.32800126927514,23.473442
143119137916819456,Gaia DR3 143119137916819456,43.42786006164385,38.337105170901495,16.60427992591326,5.2669635,0.57826185,50.9839939355003,-79.58949818122778,5.3733497
143438855283093888,Gaia DR3 143438855283093888,43.63594860211109,39.18328080269767,28.655097574772643,11.558193,2.1583538,-12.075941525644808,-152.15066734015903,-18.619114
143455554116023040,Gaia DR3 143455554116023040,44.11343071304236,39.2890287694024,17.845800812345427,11.240531,1.6396046,-194.40823568922525,-90.20333095126793,-36.202312
144033656713735040,Gaia DR3 144033656713735040,45.06767499918278,41.08254844658674,18.827994908938123,16.121908,3.408287,0.2853699598245356,-75.96729671063093,--
144039905890556160,Gaia DR3 144039905890556160,45.44355030432396,41.23209454393723,19.25029717405236,18.559427,1.1143284,-155.80436725039993,-68.30807099308004,--
205842840309433088,Gaia DR3 205842840309433088,75.54673183350918,45.03672601077497,19.56674471067379,9.595321,1.0893745,-45.779445833575934,-317.9321950316816,-9.670671
206154723654526464,Gaia DR3 206154723654526464,73.4456676613385,44.4827778926758,21.82077394912207,18.700298,1.1457901,425.7398013667787,-51.68979910375955,--
206430529275929600,Gaia DR3 206430529275929600,72.92385353557691,45.228858298376146,17.499299703761015,15.004345,2.540926,-71.23721473138622,-167.9260985602213,-35.697426
208396421707959808,Gaia DR3 208396421707959808,78.74325899218691,44.5261738607827,23.871208101615082,12.887859,--,42.55811208059898,-678.7798029706057,--
211412038501816320,Gaia DR3 211412038501816320,86.95857805079149,49.34515134669624,16.370652723585373,12.025805,1.9265375,46.10849222600085,-84.1808337598209,29.035088
213797635137892096,Gaia DR3 213797635137892096,82.31978826148648,50.24756979436096,19.31912517046359,14.0535755,2.9528284,25.01191796990732,132.0188160826009,-22.424778
214657178351426688,Gaia DR3 214657178351426688,88.82307592462004,51.08269933648968,20.20828576895596,13.695967,2.2996454,364.16419991401074,-489.35545763890866,13.849689
215350076836032384,Gaia DR3 215350076836032384,83.47296485163254,50.90401517222864,40.30019708274376,16.64887,4.650427,-154.26929314040012,-175.8396911680254,--
216039882943596416,Gaia DR3 216039882943596416,88.4882248773951,53.07818798302932,19.863576031687256,13.757703,2.4026651,418.9761859030227,167.3975240634688,-12.795849
230353531472787072,Gaia DR3 230353531472787072,60.385837641859744,41.10902598262332,37.40814846419683,14.149218,2.9540396,152.98648222635885,-354.19407395473377,-11.276426
230876143094206208,Gaia DR3 230876143094206208,57.98724149759576,41.20424779950486,23.75269498673034,15.791679,3.3999834,146.2403998329147,-96.29575889237368,--
